City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
300,kysyl-syr,92,RU,1525254920,56,63.9,122.77,50.87,11.25
301,sorrento,0,AU,1525251600,42,-31.82,115.75,62.6,14.99
302,lalsot,20,IN,1525251600,14,26.56,76.33,107.6,9.17
303,tahoua,0,NE,1525251600,41,14.89,5.26,95.0,13.87
304,cabra,20,ES,1525253400,76,37.47,-4.43,53.6,4.7
305,marsh harbour,48,BS,1525254248,100,26.54,-77.06,75.26,19.75
306,sampit,44,ID,1525254509,73,-2.54,112.95,86.78,4.21
307,hirara,75,JP,1525251600,83,24.8,125.28,80.6,12.75
308,charters towers,32,AU,1525254922,71,-20.07,146.27,70.4,7.0
309,kutum,0,SD,1525254485,16,14.2,24.66,96.95,10.69
310,sandwick,40,GB,1525251000,87,54.57,-2.89,42.8,19.46
311,ust-maya,0,RU,1525254923,43,60.42,134.54,48.89,4.76
312,praia da vitoria,75,PT,1525251600,72,38.73,-27.07,59.0,15.05
313,geraldton,90,CA,1525251600,92,49.72,-86.95,28.4,6.93
314,hirna,32,ET,1525254923,86,9.22,41.1,74.45,3.76
315,boa vista,20,BR,1525251600,94,2.82,-60.67,75.2,4.7
316,lasa,20,CY,1525253400,57,34.92,32.53,82.4,18.34
317,maracaibo,40,CO,1525251600,94,3.41,-75.78,69.8,3.36
318,murdochville,68,CA,1525254925,85,48.96,-65.49,36.29,3.42
319,ramanuj ganj,20,IN,1525254925,37,23.81,83.7,98.3,9.24
320,savannah bight,36,HN,1525254926,99,16.45,-85.85,81.11,11.03
321,lagoa,20,PT,1525251600,67,37.14,-8.45,59.0,3.36
322,flinders,0,AU,1525251600,100,-34.58,150.85,59.0,1.12
323,bandarbeyla,88,SO,1525254466,100,9.49,50.81,77.69,15.73
324,gilgit,92,PK,1525254927,98,35.92,74.31,34.22,0.4
325,nakusp,20,CA,1525254927,87,50.24,-117.8,31.61,1.74
326,bereslavka,0,UA,1525254927,38,47.89,32.29,81.83,4.88
327,yulara,92,AU,1525251600,14,-25.24,130.99,82.4,5.82
328,chuy,48,UY,1525254527,93,-33.69,-53.46,61.04,8.57
329,clyde river,1,CA,1525251600,84,70.47,-68.59,-0.41,12.75
330,nordhorn,20,DE,1525252800,50,52.44,7.07,55.4,9.17
331,torbay,20,CA,1525251600,93,47.66,-52.73,42.8,18.34
332,sinnar,0,IN,1525254929,27,19.85,74.0,98.84,12.37
333,lebu,20,ET,1525254461,94,8.96,38.73,65.99,4.21
334,boddam,90,GB,1525252800,87,57.47,-1.78,42.8,13.87
335,alekseyevsk,56,RU,1525254929,41,57.84,108.35,63.83,9.8
336,portland,1,US,1525251360,81,45.52,-122.67,51.8,9.17
337,alice springs,40,AU,1525251600,19,-23.7,133.88,80.6,6.93
338,lima,0,PE,1525254930,84,-12.06,-77.04,56.81,1.63
339,tiksi,88,RU,1525254495,96,71.64,128.87,32.06,9.46
340,namibe,0,AO,1525254559,96,-15.19,12.15,79.49,5.21
341,carupano,44,VE,1525254931,91,10.67,-63.26,78.14,10.92
342,inhambane,40,MZ,1525251600,74,-23.87,35.38,80.6,2.24
343,viru,0,EE,1525251000,58,57.74,26.74,57.2,16.11
344,klaksvik,80,FO,1525252800,60,62.23,-6.59,42.8,4.7
345,benghazi,75,LY,1525254600,30,32.12,20.07,84.2,34.45
346,badiraguato,80,MX,1525254932,69,25.36,-107.55,66.17,1.97
347,charleston,1,US,1525251240,71,38.35,-81.63,51.8,5.66
348,novyy urengoy,44,RU,1525254933,94,66.08,76.63,14.6,16.84
349,katubao,88,PH,1525254933,95,5.89,124.83,78.95,2.75
350,graham,1,US,1525252800,81,36.07,-79.4,57.2,6.44
351,san cristobal,75,EC,1525251600,93,-0.39,-78.55,51.8,5.82
352,akdepe,0,TM,1525251600,19,42.05,59.39,78.8,13.87
353,vila velha,40,BR,1525251600,94,-3.71,-38.6,77.0,6.93
354,san lorenzo,0,PY,1525251600,68,-25.34,-57.51,71.6,4.7
355,karratha,20,AU,1525254532,39,-20.74,116.85,83.0,14.05
356,homer,40,US,1525251180,87,59.64,-151.54,39.2,16.11
357,bereda,75,ES,1525253400,81,43.27,-7.54,53.6,16.11
358,kaitangata,68,NZ,1525254489,91,-46.28,169.85,50.15,7.45
359,jumla,48,NP,1525254936,75,29.28,82.18,47.81,1.19
360,itanagar,75,IN,1525251600,58,27.1,93.63,86.0,6.93
361,ramotswa,0,BW,1525251600,53,-24.87,25.87,71.6,5.82
